museum_id,name,country
30,The Museum of Modern Art,USA
31,Pushkin State Museum of Fine Arts,Russia
32,National Gallery of Victoria,Australia
33,São Paulo Museum of Art,Brazil
34,The State Hermitage Museum,Russia
35,The Metropolitan Museum of Art,USA
36,Museum Folkwang,Germany
37,Museum of Grenoble,France
38,Musée des Beaux-Arts de Quimper,France
39,Nelson-Atkins Museum of Art,USA
40,Musée du Louvre,France
41,National Maritime Museum,United Kingdom
42,Museum of Fine Arts Boston,USA
43,Rijksmuseum,Netherlands
44,Israel Museum,Israel
45,Kunsthaus Zürich,Switzerland
46,National Gallery of Art,USA
47,National Gallery,UK
48,Mauritshuis Museum,Netherlands
49,Musée d'Orsay,France
50,The Prado Museum,Spain
51,The Barnes Foundation,USA
52,Hungarian National Gallery,Hungary
53,Cleveland Museum Of Art,USA
54,"Museum of Fine Arts, Houston",USA
55,The J. Paul Getty Museum,USA
56,Thussen-Bornemisza Museum,Spain
57,Van Gogh Museum,Netherlands
58,The Phillips Collection,USA
59,Toledo Museum of Art,USA
60,Los Angeles County Museum of Art,USA
61,Solomon R. Guggenheim Museum,USA
62,The Tate Gallery,UK
63,Indianapolis Museum of Art,USA
64,Museum of Fine Arts of Nancy,France
65,Fine Arts Museums of San Francisco Legion of Honor,USA
66,Smithsonian American Art Museum,USA
67,Philadelphia Museum of Art,USA
68,The Art Institute of Chicago,USA
69,Saint Louis Art Museum,USA
70,Uffizi Gallery Italy,Italy
71,Ohara Museum of Art,Japan
72,Musée Marmottan Monet,France
73,Walters Art Museum,USA
74,Kröller-Müller Museum,Netherlands
75,National Museum,UK
76,Columbus Museum of Art,USA
77,Kimbell Art Museum,USA
78,Walker Art Gallery,UK
79,National Museum of Art Architecture and Design,Norway
80,Dallas Museum of Art,USA
81,Museum of Fine Arts,Switzerland
82,Army Museum,France
83,Chrysler Museum of Art,USA
84,National Gallery Prague,Czechia
85,Norton Simon Museum,USA
86,Courtauld Gallery,UK
